Saved path: florist, bank, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, jewelry_store, party_store, gelateria, music_store : 40013
Saved path: clothing_store, tech_shop, burger_joint, gym, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store : 34879
Saved path: tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, bank, pizzeria, dentist, grocery_store : 45068
Saved path: bank, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store : 52517
Saved path: bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria : 49256
Saved path: pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, gym, music_store, gelateria, party_store, bakery : 46948
Saved path: jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store : 48443
Saved path: florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, party_store, pharmacy, music_store : 36177
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, bike_shop, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe : 38640
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, jewelry_store, salon, pet_store, bakery, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym : 45333
Saved path: bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store : 42073
Saved path: pharmacy, gelateria, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, pet_store, bike_shop, salon, party_store : 46263
Saved path: florist, craft_shop, gym, hardware_store, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 45865
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, party_store, barber_shop, bakery, salon, hardware_store : 40776
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, pizzeria, bank, florist : 45867
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, music_store, florist, bank, pizzeria : 46258
Saved path: party_store, pharmacy, florist, bank, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, bakery, pet_store : 45238
Saved path: pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, florist, music_store : 37121
Saved path: salon, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, bank, music_store, pharmacy, party_store : 46611
Saved path: party_store, pharmacy, gelateria, florist, bank, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery : 35725
