Saved path: bike_shop, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, gym, toy_store, grocery_store, tech_shop, hardware_store, jewelry_store, bakery, pet_store : 44552
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store : 34167
Saved path: pet_store, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, party_store : 48382
Saved path: bakery, party_store, gelateria, music_store, craft_shop, pizzeria, gym, burger_joint, cafe, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 46920
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, bank, bookstore : 40426
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, pizzeria, florist : 49133
Saved path: bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, music_store, gelateria, bank, craft_shop, gym, burger_joint : 45405
Saved path: noodle_house, clothing_store, grocery_store, dentist, bookstore, bank, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store : 49022
Saved path: bank, florist, music_store, gelateria, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, pizzeria, gym : 39364
Saved path: clothing_store, noodle_house, toy_store, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, bookstore, cafe, dentist, grocery_store : 49140
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, party_store, bakery, salon, jewelry_store, hardware_store : 37838
Saved path: hardware_store, burger_joint, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, pharmacy : 45167
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, salon, bakery, pet_store, jewelry_store, toy_store, clothing_store, tech_shop, cafe : 42069
Saved path: salon, party_store, pharmacy, bank, craft_shop, pizzeria, burger_joint, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 44681
Saved path: noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, gelateria, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store : 41742
Saved path: music_store, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, florist : 46598
Saved path: music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, craft_shop, pizzeria, florist : 49451
Saved path: florist, gym, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy : 50055
Saved path: bank, music_store, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 42030
Saved path: gelateria, party_store, bakery, barber_shop, toy_store, noodle_house, burger_joint, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist : 36033
Saved path: bank, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria : 43548
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, craft_shop, bookstore, clothing_store, tech_shop : 45611
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, gym, bookstore, dentist : 41305
Saved path: clothing_store, dentist, cafe, burger_joint, gym, pizzeria, craft_shop, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 51647
Saved path: gym, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, hardware_store : 46398
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, jewelry_store, pharmacy, florist, bank, craft_shop, dentist : 45047
Saved path: salon, bakery, gym, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, bank, florist, music_store, pharmacy, party_store, jewelry_store : 38055
Saved path: pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store, salon, party_store : 45317
