Saved path: salon, gelateria, music_store, florist, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 48267
Saved path: jewelry_store, bakery, gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, gym : 39659
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, jewelry_store, hardware_store, toy_store : 34085
Saved path: gym, craft_shop, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, florist, bank : 49993
Saved path: music_store, florist, bank, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, gelateria : 34721
Saved path: pharmacy, party_store, bakery, bike_shop, jewelry_store, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, music_store : 37179
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gym, hardware_store, party_store, bakery, jewelry_store, barber_shop : 33708
Saved path: pizzeria, craft_shop, music_store, pharmacy, jewelry_store, salon, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore : 50470
Saved path: bookstore, burger_joint, gym, bank, florist, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist : 37737
Saved path: florist, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, hardware_store, gym, pizzeria : 43044
Saved path: cafe, burger_joint, bookstore, bank, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, dentist : 41328
Saved path: noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, toy_store : 48703
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, gelateria, music_store : 50971
Saved path: tech_shop, bookstore, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, bank, craft_shop, dentist, grocery_store, toy_store, noodle_house : 49194
Saved path: bakery, pet_store, bike_shop, party_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop : 48269
Saved path: grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, bank, craft_shop, bookstore : 38640
Saved path: bookstore, pizzeria, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe : 42324
Saved path: jewelry_store, party_store, pharmacy, music_store, pizzeria, dentist, cafe, grocery_store, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon : 49965
Saved path: pet_store, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, barber_shop, bakery : 51498
Saved path: bike_shop, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon : 49579
